Prompt ID,Category,Prompt,Correct Answer (English),Language,Response,Accuracy Score,Sentiment Score,Response Length
15,Explanation,¿Por qué el cielo parece azul durante el día?,"Because the atmosphere scatters shorter (blue) wavelengths of sunlight more than longer wavelengths, a phenomenon called Rayleigh scattering.",Spanish,Por la dispersión de los rayos de luz.,0.6061,4,8
16,Explanation,Why do objects fall at the same rate in a vacuum regardless of mass?,"Gravitational acceleration acts equally on all masses; without air resistance, every object experiences the same acceleration (g ≈ 9.8 m/s²).",English,Because there is no air resistance in a vacuum.,0.3648,2,9
16,Explanation,"¿Por qué los objetos caen a la misma velocidad en el vacío, independientemente de su masa?","Gravitational acceleration acts equally on all masses; without air resistance, every object experiences the same acceleration (g ≈ 9.8 m/s²).",Spanish,Por la ley de la gravedad universal.,0.4879,5,7
17,Explanation,Why does ice float on water?,"Water expands when it freezes, making ice less dense than liquid water, so it floats.",English,Because ice is less dense than liquid water.,0.7739,2,8
17,Explanation,¿Por qué flota el hielo en el agua?,"Water expands when it freezes, making ice less dense than liquid water, so it floats.",Spanish,Porque el hielo es menos denso que el agua.,0.7452,2,9
18,Explanation,What causes a lunar eclipse?,"Earth passes directly between the Sun and the Moon, casting its shadow onto the Moon.",English,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, blocking the sunlight that normally reflects off the Moon's surface.",0.7505,2,24
18,Explanation,¿Qué provoca un eclipse lunar?,"Earth passes directly between the Sun and the Moon, casting its shadow onto the Moon.",Spanish,El eclipse lunar se produce cuando la Luna pasa entre la Tierra y el Sol.,0.7548,3,15
19,Explanation,Why do we see lightning before we hear thunder?,"Light travels much faster than sound (~3 × 10⁸ m/s vs. ~343 m/s), so the flash reaches us almost instantly while the sound takes longer.",English,Light travels faster than sound.,0.7848,5,5
19,Explanation,¿Por qué vemos el relámpago antes de oír el trueno?,"Light travels much faster than sound (~3 × 10⁸ m/s vs. ~343 m/s), so the flash reaches us almost instantly while the sound takes longer.",Spanish,Porque el sonido viaja más lentamente que la luz.,0.6112,2,9
20,Explanation,What is the purpose of white blood cells?,"They are the body's primary immune defense, identifying and destroying pathogens, foreign substances, and abnormal cells.",English,"To fight infections and diseases by destroying foreign invaders, such as bacteria, viruses, and other pathogens.",0.6236,5,16
20,Explanation,¿Cuál es la función de los glóbulos blancos?,"They are the body's primary immune defense, identifying and destroying pathogens, foreign substances, and abnormal cells.",Spanish,Los glóbulos blancos (leucocitos) son células del sistema inmunológico que protegen el cuerpo contra infecciones y enfermedades.,0.661,4,17
21,Explanation,Why does a compass needle point north?,"Earth's core generates a magnetic field; the magnetized needle aligns with this field, with its north-seeking pole pointing toward Earth's magnetic north pole.",English,"A compass needle points north because it is magnetized and aligns itself with the Earth's magnetic field, which is strongest near the Earth's magnetic North Pole.",0.8814,3,26
21,Explanation,¿Por qué la aguja de una brújula apunta al norte?,"Earth's core generates a magnetic field; the magnetized needle aligns with this field, with its north-seeking pole pointing toward Earth's magnetic north pole.",Spanish,Porque está orientada hacia el polo magnético de la Tierra.,0.8149,3,10
